"Node","Type","In_Degree","Out_Degree","Total_Degree","Betweenness","Closeness","PageRank","In_Cycle","SCC_ID","SCC_Size"
"Aldosterone","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,645,1
"Allergens","regular",0,2,2,0,0.000378357926598562,0.000470806819447831,FALSE,644,1
"Alloxan","regular",0,3,3,0,0.000364830353885443,0.000470806819447831,FALSE,643,1
"Alopecia","regular",1,0,1,0,0.00032605151613955,0.000497485872549875,FALSE,642,1
"Amino_Acid_Substitution","regular",1,0,1,0,0.000295159386068477,0.00067089971771316,FALSE,641,1
"Amnesia","regular",1,0,1,0,0.000295420974889217,0.000570853268580495,FALSE,640,1
"Amyloid","regular",0,3,3,0,0.000400320256204964,0.000470806819447831,FALSE,639,1
"Amyloid_Fibrils","regular",0,1,1,0,0.000393081761006289,0.000470806819447831,FALSE,638,1
"Amyloid_beta","regular",0,1,1,0,0.000393081761006289,0.000470806819447831,FALSE,637,1
"Amyloid_beta_Peptides","regular",0,1,1,0,0.000393081761006289,0.000470806819447831,FALSE,636,1
"Amyloid_beta_Protein_Precursor","regular",0,1,1,0,0.000393081761006289,0.000470806819447831,FALSE,635,1
"Amyloid_deposition","regular",1,1,2,0,0.000393081761006289,0.00229285177316298,TRUE,700,61
"Amyloidosis","regular",0,2,2,0,0.000398089171974522,0.000470806819447831,FALSE,634,1
"Anabolism","regular",1,0,1,0,0.000344115622849277,0.000515271907951238,FALSE,632,1
"Anaphylaxis","regular",0,1,1,0,0.00037202380952381,0.000470806819447831,FALSE,631,1
"Androgens","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,630,1
"Anemia","regular",3,0,3,0,0.00035880875493362,0.00166708451730526,FALSE,762,1
"Aneurysm_Dissecting","regular",0,1,1,0,0.000341763499658237,0.000470806819447831,FALSE,629,1
"Angiogenesis_Inhibitors","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,628,1
"Angiotensin_II","regular",0,9,9,0,0.000457456541628545,0.000470806819447831,FALSE,624,1
"Angiotensins","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,623,1
"Anti_Inflammatory_Agents_Non_Steroidal","regular",0,2,2,0,0.000372300819061802,0.000470806819447831,FALSE,622,1
"Antibodies","regular",0,1,1,0,0.000398883127243718,0.000470806819447831,FALSE,621,1
"Antigens","regular",0,3,3,0,0.000415282392026578,0.000470806819447831,FALSE,620,1
"Antihypertensive_Agents","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,619,1
"Antioxidants","regular",0,4,4,0,0.000467508181393174,0.000470806819447831,FALSE,618,1
"Antipsychotic_Agents","regular",0,1,1,0,0.000351988736360436,0.000470806819447831,FALSE,617,1
"Aortic_coarctation","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,616,1
"Apolipoprotein_E4","regular",0,1,1,0,0.000393081761006289,0.000470806819447831,FALSE,615,1
"Apolipoprotein_E_APOE","regular",0,1,1,0,0.000393081761006289,0.000470806819447831,FALSE,614,1
"Apoptosis","regular",20,0,20,0,0.000389408099688474,0.00242083193779494,FALSE,682,1
"Arboviruses","regular",0,1,1,0,0.000398883127243718,0.000470806819447831,FALSE,613,1
