node,scc_id,scc_size
Hyperemia,221,1
Adenosine,222,1
Adenosine_Triphosphate,223,1
Adenoviruses,224,1
Small_bowel_obstruction_NOS,225,1
Adhesions,226,1
Administration_Oral,227,1
Bone_necrosis,228,1
Glaucoma,229,1
loss_bone,230,1
Adrenal_Cortex_Hormones,231,1
Adrenal_Cortical_Adenoma,232,1
Adrenal_Gland_Neoplasms,233,1
Secondary_hypertension,234,1
Conn_Syndrome,235,1
Adrenal_adenoma,236,1
Adrenal_gland_hypofunction,237,1
Adrenergic_Receptor,238,1
Adrenoleukodystrophy,239,1
Cardiotoxicity,240,1
Adriamycin,241,1
Advance,242,1
Adverse_drug_effect,243,1
Adverse_reactions,244,1
African_Swine_Fever_Virus,245,1
Rare_Diseases,246,1
Congenital_Abnormality,247,1
Meningitis,248,1
Occupational_asthma,249,1
Prion_Diseases,250,1
Agent,251,1
Agranulocytosis,252,1
Air_Pollution,253,1
Airway_Obstruction,254,1
Akathisia,255,1
Albumins,256,1
Aldosterone,257,1
Allergens,258,1
Allergic_Reaction,259,1
Allergic_asthma,260,1
Allergic_rhinitis_NOS,261,1
Diabetic,262,1
Alloxan,263,1
Alopecia,264,1
Alphavirus,265,1
Alport_s_syndrome,266,1
Alternaria_alternata,267,1
Aluminum,268,1
Amenorrhea,269,1
Amino_Acid_Substitution,270,1
NEPHROTOXICITY,271,1
Aminoglycosides,272,1
Hypothyroidism,273,1
Amiodarone,274,1
Amnesia,275,1
Hyperactive_behavior,276,1
Stereotyped_Behavior,277,1
Amphetamine,278,1
Amyloid,279,1
Amyloid_Fibrils,280,1
Amyloid_beta,281,1
Amyloid_beta_Peptides,282,1
Amyloid_beta_Protein_Precursor,283,1
Amyloidosis,284,1
Anabolism,285,1
Analgesics,286,1
Anaphylaxis,287,1
Virilism,288,1
Androgens,289,1
Anemia_Hemolytic,290,1
Unconscious_State,291,1
Anesthetics,292,1
Aneurysm,293,1
Aneurysm_Dissecting,294,1
Cerebral_Vasospasm,295,1
Vasospasm,296,1
Subarachnoid_Hemorrhage,297,1
Aneurysm_Ruptured,298,1
Angiogenesis_Inhibitors,299,1
Aortic_Aneurysm_Abdominal,300,1
Exocytosis,302,1
Hypertensive,303,1
Water_consumption,304,1
cardiac_muscle_cell_hypertrophy,305,1
Angiotensin_II,306,1
Angiotensins,307,1
Anogenital_venereal_warts,308,1
Anorexia,309,1
Anthracyclines,310,1
Anthrax_disease,311,1
Intestinal_Diseases,312,1
Lesion,313,1
Peptic_Ulcer,314,1
Stomach_Diseases,315,1
Anti_Inflammatory_Agents_Non_Steroidal,316,1
Dysbiosis,317,1
Antibiotics,318,1
Antibodies,319,1
Antibodies_Anti_Idiotypic,320,1
Antibody_Formation,321,1
Hemorrhage,322,1
Anticoagulants,323,1
Manic,324,1
Antidepressive_Agents,325,1
Antigen_Antibody_Complex,326,1
Antigens,327,1
Antihypertensive_Agents,328,1
Antineoplastic_Agents,329,1
Antioxidants,330,1
Antiphospholipid_Antibodies,331,1
Catalepsy,332,1
Extrapyramidal_sign,333,1
Hyperprolactinemia,334,1
Movement_Disorders,335,1
Tardive_Dyskinesia,336,1
Weight_Gain,337,1
Antipsychotic_Agents,338,1
Aortic_Valve_Insufficiency,339,1
Aortic_Valve_Stenosis,340,1
Aortic_coarctation,341,1
Aplasia_NOS,342,1
Apolipoprotein_E4,343,1
Apolipoprotein_E_APOE,344,1
Apomorphine,345,1
Oedema_auricular,346,1
Arachidonic_Acid,347,1
Arboviruses,348,1
insulin_secretion,349,1
Arginine,350,1
Hyponatremia,351,1
Argipressin,352,1
Arrhythmogenic_Right_Ventricular_Dysplasia,353,1
Arsenic,354,1
Arthritis,355,1
Mycoses,356,1
Arthrodermataceae,357,1
