source,target,predicate,ev_count
BAX_gene_BAX,apoptogenic_cytochrome_c_release_channel_activity,DISRUPTS,359
BAX_gene_BAX,caspase_3,STIMULATES,253
BCL2_Related_Protein_11_BCL2L11,Apoptosis,CAUSES,103
BCL2_gene_BCL2,Apoptosis,DISRUPTS,120
BCL_2_Protein,Apoptosis,CAUSES,109
B_Lymphocytes,Antibodies,PRODUCES,918
B_Lymphocytes,Autoantibodies,PRODUCES,572
B_Lymphocytes,CD40LG,PRODUCES,383
B_Lymphocytes,IGHE,PRODUCES,270
B_Lymphocytes,Immunoglobulins,PRODUCES,459
B_Lymphocytes,Interleukin_10,PRODUCES,404
B_Lymphocytes,cytokine,PRODUCES,464
Bacteria,Cessation_of_life,CAUSES,176
Bacteria,Communicable_Diseases,CAUSES,354
Bacteria,Infection,CAUSES,1858
Bacteria,Inflammation,CAUSES,606
Bacteria,Inflammatory_Response,CAUSES,142
Bacteria,Pneumonia,CAUSES,246
Bacteria,Septicemia,CAUSES,219
Bacteria,Urinary_tract_infection,CAUSES,266
Bacteria,Fatty_Acids_Volatile,PRODUCES,517
Bacteria,Reactive_Oxygen_Species,PRODUCES,102
Bacteria,Siderophores,PRODUCES,242
Bacteria,Toxin,PRODUCES,423
Bacteria,beta_Lactamase,PRODUCES,354
Bacterial_Infections,Cessation_of_life,CAUSES,157
Bacterial_Infections,Inflammation,CAUSES,163
Banding_procedure,Cardiac_Hypertrophy,CAUSES,107
Banding_procedure,Hypertension,CAUSES,13
Bicuculline,Seizures,CAUSES,275
Bilateral_renal_artery_stenosis,Hypertension,CAUSES,17
Binding_Molecular_Function,Apoptosis,CAUSES,139
Binding_Molecular_Function,Macromolecular_alteration,CAUSES,614
Blast,Traumatic_Brain_Injury,CAUSES,486
Bleomycin,Fibrosis,CAUSES,935
Bleomycin,Injury,CAUSES,1050
Bleomycin,Pulmonary_Fibrosis,CAUSES,2448
Blood_Pressure_Monitoring_Ambulatory,Hypertension,CAUSES,10
Bradykinin,Edema,CAUSES,100
Bradykinin,Extravasation,CAUSES,123
Bradykinin,Nitric_Oxide,STIMULATES,115
Brain_Derived_Neurotrophic_Factor,Neurons,STIMULATES,100
Brain_Injuries,Alzheimers,CAUSES,10
Bronchiolitis,Hospitalization,CAUSES,147
CA2,Phosphorylation,STIMULATES,220
CAMP,Growth,DISRUPTS,105
CAMP,Adenylate_Cyclase,STIMULATES,200
CAMP,Cyclic_AMP_Dependent_Protein_Kinases,STIMULATES,377
CAMP,Phosphorylation,STIMULATES,304
CD28_gene_CD28,T_Lymphocyte,STIMULATES,279
CD4_Positive_T_Lymphocytes,cytokine,PRODUCES,144
CD4_gene_CD4,Interleukin_17,PRODUCES,247
CD4_gene_CD4,cytokine,PRODUCES,161
CD4_gene_CD4,T_Lymphocyte,STIMULATES,259
CD69_protein_human_CD69,Awareness,AUGMENTS,422
CD69_protein_human_CD69,Cessation_of_life,CAUSES,101
CDKN1A_TCEAL1_NSG1_H3F3AP6,Apoptosis,CAUSES,164
CDKN1A_TCEAL1_NSG1_H3F3AP6,Phosphotransferases,STIMULATES,980
COLLAGENASE,Cerebral_hemisphere_hemorrhage,CAUSES,402
COVID_19,Cessation_of_life,CAUSES,1500
COVID_19,Challenge,CAUSES,662
COVID_19,Cytokine_Storm,CAUSES,117
COVID_19,Hospitalization,CAUSES,411
COVID_19,Hypertension,CAUSES,17
COVID_19,Inflammation,CAUSES,147
COVID_19,Pneumonia,CAUSES,482
COVID_19,Respiratory_Distress_Syndrome_Adult,CAUSES,844
COVID_19,Respiratory_Failure,CAUSES,156
COVID_19,Severe_Acute_Respiratory_Syndrome,CAUSES,105
COVID_19,Telemedicine,CAUSES,115
COVID_19_Vaccines,COVID_19,PREVENTS,110
CRYGC_CRYGEP,Injury,CAUSES,161
CYTOCHROME_C,Apoptosis,CAUSES,470
CYTOCHROME_C,caspase_3,STIMULATES,406
CYTOCHROME_C,caspase_9,STIMULATES,287
Cadmium,Apoptosis,AUGMENTS,262
Cadmium,Hypertension,CAUSES,47
Cadmium,Injury,CAUSES,121
Cadmium,Oxidative_Stress,CAUSES,513
Cadmium,Toxic_effect,CAUSES,150
Cadmium,Metallothionein,STIMULATES,196
Caerulein,Pancreatitis,CAUSES,822
Caffeine,Contracture,CAUSES,190
Caffeine,Alzheimers,PREVENTS,11
Caffeine,CA2,STIMULATES,592
Calcineurin_inhibitor,Hypertension,CAUSES,13
Calcium,Exocytosis,AUGMENTS,109
Calcium,Macromolecular_alteration,AUGMENTS,115
Calcium,Permeability,AUGMENTS,107
Calcium,Hypertension,PREVENTS,14
Calcium,Fracture,PREVENTS,111
Calcium,Osteoporosis,PREVENTS,113
Calcium,Calpain,STIMULATES,568
Calcium,Endopeptidases,STIMULATES,404
Calcium,Peptide_Hydrolases,STIMULATES,140
Calcium,Potassium,STIMULATES,707
Calcium,Protein_Kinase_C,STIMULATES,100
Calcium_Channel_Blockers,Hypertension,PREVENTS,13
Calcium_supplementation,Hypertension,PREVENTS,26
Calmodulin,Phosphorylation,STIMULATES,319
Camptothecin,Apoptosis,CAUSES,636
Candida_albicans,Infection,CAUSES,204
Candida_species,Infection,CAUSES,206
Candidate_Disease_Gene,Hypertension,CAUSES,11
Capsaicin,Apoptosis,CAUSES,105
Captopril,Hypertension,PREVENTS,43
Carbon_Dioxide,Growth,AUGMENTS,120
Carbon_Tetrachloride,Fibrosis,CAUSES,184
Carbon_Tetrachloride,Fibrosis_Liver,CAUSES,578
Carbon_Tetrachloride,Hepatotoxicity,CAUSES,342
Carbon_Tetrachloride,Injury,CAUSES,1000
Carbon_Tetrachloride,Liver_damage,CAUSES,308
Carbon_tetrachloride_homeopathic_preparation,Fibrosis,CAUSES,113
Carbon_tetrachloride_homeopathic_preparation,Injury,CAUSES,122
Carcinogens,Malignant_Neoplasms,CAUSES,298
Carcinogens,Neoplasm,CAUSES,1074
Cardiac_Hypertrophy,Heart_failure,CAUSES,138
Cardiac_complication,Cessation_of_life,CAUSES,120
Cardiomyopathies,Cessation_of_life,CAUSES,199
Cardiomyopathies,Heart_failure,CAUSES,303
Cardiomyopathies_Primary,Heart_failure,CAUSES,109
Cardiomyopathy_Dilated,Congestive_heart_failure,CAUSES,109
Cardiomyopathy_Dilated,Heart_failure,CAUSES,870
Cardiopulmonary_Bypass,Inflammation,CAUSES,107
Cardiopulmonary_Bypass,Inflammatory_Response,CAUSES,406
Cardiovascular_Diseases,Cessation_of_life,CAUSES,6288
Cardiovascular_Diseases,Hospitalization,CAUSES,113
Cardiovascular_Diseases,Hypertension,CAUSES,29
Cardiovascular_arteriosclerosis_unspecified,Cessation_of_life,CAUSES,115
Carrageenan,Paw,AUGMENTS,277
Carrageenan,Edema,CAUSES,6440
Carrageenan,Hyperalgesia,CAUSES,266
Carrageenan,Inflammation,CAUSES,1610
Carrageenan,Pleurisy,CAUSES,335
Caspase_Inhibitor,Apoptosis,DISRUPTS,484
Castor_Oil,Diarrhea,CAUSES,335
Cataract,Blind_Vision,CAUSES,588
Catecholamines,Lipolysis,AUGMENTS,462
Catecholamines,Cardiomyopathies,CAUSES,143
Catecholamines,Hypertension,CAUSES,38
Cell_Cycle,Apoptosis,CAUSES,1676
Cell_Cycle_Arrest,Apoptosis,CAUSES,1434
Cell_Cycle_Progression,Apoptosis,CAUSES,554
Cell_Death,Apoptosis,CAUSES,772
Cell_Death,Reactive_Oxygen_Species,PRODUCES,610
Cell_Growth,Apoptosis,CAUSES,1258
Cell_Line,Antibodies,PRODUCES,206
Cell_Line,Monoclonal_Antibodies,PRODUCES,596
Cell_Line,RNA_Messenger,PRODUCES,218
Cell_Line,receptor,PRODUCES,123
Cell_Proliferation,Apoptosis,CAUSES,3914
Cell_Proliferation,Cell_Cycle_Arrest,CAUSES,387
Cell_Survival,Apoptosis,CAUSES,1984
Cell_Survival,Reactive_Oxygen_Species,PRODUCES,570
Ceramides,Apoptosis,AUGMENTS,848
Cerebral_Amyloid_Angiopathy,Alzheimers,CAUSES,12
Cerebral_Ischemia,Cessation_of_life,CAUSES,136
Cerebral_atrophy,Alzheimers,CAUSES,12
Cerebral_hemisphere_hemorrhage,Cessation_of_life,CAUSES,110
Cerebrospinal_Fluid,Alzheimers,CAUSES,17
Cerebrovascular_Disorders,Cessation_of_life,CAUSES,328
Cerebrovascular_accident,Hypertension,CAUSES,22
Cerebrovascular_accident,Cessation_of_life,CAUSES,3038
Cerebrovascular_accident,Disability_NOS,CAUSES,964
Cerebrovascular_accident,Hemiparesis,CAUSES,167
Cerebrovascular_accident,Hemiplegia,CAUSES,131
Cervical_Ripening,Labor_Childbirth,CAUSES,120
Cesarean_section,Labor_Childbirth,STIMULATES,404
Chemicals,Neoplasm,CAUSES,112
Chemicals,Oxidative_Stress,CAUSES,104
Chemicals,Toxic_effect,CAUSES,524
Chemokine_C_C_Motif_Ligand_4_CCL4,Fibrosis,CAUSES,526
Chemokine_C_C_Motif_Ligand_4_CCL4,Fibrosis_Liver,CAUSES,627
Chemokine_C_C_Motif_Ligand_4_CCL4,Hepatotoxicity,CAUSES,409
Chemokine_C_C_Motif_Ligand_4_CCL4,Injury,CAUSES,1536
Chemokine_C_C_Motif_Ligand_4_CCL4,Liver_damage,CAUSES,323
Chemokine_C_C_Motif_Ligand_4_CCL4,Oxidative_Stress,CAUSES,106
Chemokine_C_C_Motif_Ligand_4_CCL4,Toxic_effect,CAUSES,147
Chemotherapeutic_agent,Apoptosis,CAUSES,462
Chitosan,Growth,DISRUPTS,108
Chlamydia_trachomatis,Infection,CAUSES,205
Chloroquine,Autophagy,DISRUPTS,345
Chlorpyrifos,Toxic_effect,CAUSES,100
Cholera_Toxin,Adenylate_Cyclase,STIMULATES,214
Cholesterol,Alzheimers,CAUSES,42
Cholesterol,Atherosclerosis,CAUSES,205
Cholesterol,Cytolysins,STIMULATES,151
Cholesterol,High_Density_Lipoprotein_Cholesterol,STIMULATES,436
Cholesterol,perforin,STIMULATES,135
Chronic_Disease,Cessation_of_life,CAUSES,486
Chronic_Disease,Disability_NOS,CAUSES,136
Chronic_Kidney_Diseases,Hypertension,CAUSES,19
Chronic_Obstructive_Airway_Disease,Cessation_of_life,CAUSES,1686
Chronic_Obstructive_Airway_Disease,Hospitalization,CAUSES,113
Chronic_infectious_disease,Fibrosis,CAUSES,143
Chronic_inflammation,Alzheimers,CAUSES,19
Chronic_inflammation,Hypertension,CAUSES,12
Chymosin_REN,Hypertension,CAUSES,15
Cigarette_smoke,Inflammation,CAUSES,198
Cigarette_smoke,Injury,CAUSES,104
Cigarette_smoke,Oxidative_Stress,CAUSES,135
Cigarette_smoke,Pathological_accumulation_of_air_in_tissues,CAUSES,201
Cisplatin,Apoptosis,CAUSES,4342
Cisplatin,Cell_Death,CAUSES,406
Cisplatin,DNA_Damage,CAUSES,255
Cisplatin,Injury,CAUSES,942
Cisplatin,Kidney_Failure_Acute,CAUSES,984
Cisplatin,NEPHROTOXICITY,CAUSES,966
Cisplatin,Ototoxicity,CAUSES,301
Cisplatin,Oxidative_Stress,CAUSES,156
