"node","in_degree","out_degree","total_degree","betweenness","is_exposure","is_outcome","in_scc"
"Acute_gastroenteritis",0,1,1,0,FALSE,FALSE,FALSE
"Acute_graft_versus_host_disease",0,1,1,0,FALSE,FALSE,FALSE
"Acute_heart_failure",1,3,4,5.38938062734724e-07,FALSE,FALSE,FALSE
"Hospital_admission",20,0,20,0,FALSE,FALSE,FALSE
"Acute_hemorrhage",1,1,2,1.65626031684551e-09,FALSE,FALSE,FALSE
"Acute_infectious_disease",0,1,1,0,FALSE,FALSE,FALSE
"Acute_inflammation",1,1,2,0,FALSE,FALSE,FALSE
"Acute_interstitial_nephritis",0,1,1,0,FALSE,FALSE,FALSE
"Acute_lower_respiratory_tract_infection",0,2,2,0,FALSE,FALSE,FALSE
"Acute_myocardial_infarction",5,6,11,3.81061331232387e-05,FALSE,FALSE,TRUE
"Congestive_heart_failure",23,6,29,0.000147672200078539,FALSE,FALSE,FALSE
"Heart_failure",99,26,125,0.00389674699630832,FALSE,FALSE,TRUE
"Acute_myocardial_ischemia",0,1,1,0,FALSE,FALSE,FALSE
"Acute_pulmonary_embolism",0,1,1,0,FALSE,FALSE,FALSE
"Acute_respiratory_failure",1,1,2,0,FALSE,FALSE,FALSE
"Acute_respiratory_infection_NOS",0,2,2,0,FALSE,FALSE,FALSE
"Addictive_Behavior",2,0,2,0,FALSE,FALSE,FALSE
"Adenocarcinoma",0,1,1,0,FALSE,FALSE,FALSE
"Neoplasm_Metastasis",12,11,23,0.000219953387051905,FALSE,FALSE,TRUE
"Adenosine",0,5,5,0,FALSE,FALSE,FALSE
"Ischemia",73,69,142,0.00614045457687359,FALSE,FALSE,TRUE
"Adenosine_Triphosphate",0,1,1,0,FALSE,FALSE,FALSE
"Adenovirus_Vector",0,1,1,0,FALSE,FALSE,FALSE
"Adenoviruses",0,2,2,0,FALSE,FALSE,FALSE
"Adhesions",11,2,13,2.16969068073833e-05,FALSE,FALSE,TRUE
"Atherosclerosis",47,31,78,0.00247076167427383,FALSE,FALSE,TRUE
"Adiponectin",0,1,1,0,FALSE,FALSE,FALSE
"Administration_Oral",0,6,6,0,FALSE,FALSE,FALSE
"Colitis",11,1,12,2.72683339715852e-06,FALSE,FALSE,TRUE
"Gastric_ulcer",4,0,4,0,FALSE,FALSE,FALSE
"Immune_Tolerance",5,0,5,0,FALSE,FALSE,FALSE
"Lesion_of_stomach",3,0,3,0,FALSE,FALSE,FALSE
"Adoptive_Transfer",0,2,2,0,FALSE,FALSE,FALSE
"Adrenal_Cortex_Hormones",0,19,19,0,FALSE,FALSE,FALSE
"Adverse_event",5,2,7,1.61664524918839e-06,FALSE,FALSE,FALSE
"Atrophic_condition_of_skin",2,0,2,0,FALSE,FALSE,FALSE
"Bone_necrosis",5,0,5,0,FALSE,FALSE,FALSE
"Cataract",8,1,9,4.13375223029179e-07,FALSE,FALSE,FALSE
"Diabetes_Mellitus",19,25,44,0.000560267736152946,FALSE,FALSE,TRUE
"Glaucoma",6,3,9,6.70894577985332e-06,FALSE,FALSE,FALSE
"Hyperglycemia",33,28,61,0.00098022698051404,FALSE,FALSE,TRUE
"Intraocular_pressure_disorder",3,2,5,2.74876050126645e-07,FALSE,FALSE,FALSE
"Myopathy",5,1,6,4.78546563681088e-08,FALSE,FALSE,FALSE
"Ocular_Hypertension",4,0,4,0,FALSE,FALSE,FALSE
"Osteopenia",9,0,9,0,FALSE,FALSE,FALSE
"Osteoporosis",17,1,18,1.3263823136793e-06,FALSE,FALSE,FALSE
"Secondary_hypocortisolism",1,0,1,0,FALSE,FALSE,FALSE
"loss_bone",13,0,13,0,FALSE,FALSE,FALSE
"Adrenal_Cortical_Adenoma",2,2,4,1.27532044397105e-07,FALSE,FALSE,FALSE
"Conn_Syndrome",9,3,12,0.000245661190751632,FALSE,FALSE,TRUE
"Adrenal_Gland_Hyperfunction",0,1,1,0,FALSE,FALSE,FALSE
"Adrenal_Gland_Neoplasms",1,2,3,0,FALSE,FALSE,FALSE
"Adrenal_adenoma",2,2,4,1.27532044397105e-07,FALSE,FALSE,FALSE
"Adrenal_carcinoma",0,1,1,0,FALSE,FALSE,FALSE
"Adrenal_gland_hypofunction",2,1,3,1.60767668088471e-07,FALSE,FALSE,FALSE
"Hypercalcemia",25,4,29,0.000549446592462733,FALSE,FALSE,TRUE
"Adrenergic_Receptor",0,4,4,0,FALSE,FALSE,FALSE
"Vasodilation",21,0,21,0,FALSE,FALSE,FALSE
"Adrenergic_alpha_Agonists",0,1,1,0,FALSE,FALSE,FALSE
"Adrenergic_beta_Antagonists",0,0,0,0,FALSE,FALSE,FALSE
"Adrenocortical_carcinoma",1,2,3,2.31876444358372e-08,FALSE,FALSE,FALSE
"Adrenocortical_hyperplasia",0,1,1,0,FALSE,FALSE,FALSE
"Adriamycin",0,8,8,0,FALSE,FALSE,FALSE
"Cardiomyopathies",46,10,56,0.000536588270014734,FALSE,FALSE,TRUE
"Glomerulosclerosis",2,0,2,0,FALSE,FALSE,FALSE
"Proteinuria",15,2,17,0.000174983062049031,FALSE,FALSE,TRUE
"Advance",0,1,1,0,FALSE,FALSE,FALSE
"Infection",18,28,46,0.00230783658392583,FALSE,FALSE,TRUE
"Labor_Childbirth",22,0,22,0,FALSE,FALSE,FALSE
"Disability_NOS",91,1,92,3.10951360122184e-06,FALSE,FALSE,FALSE
"Adverse_reaction_to_drug",0,1,1,0,FALSE,FALSE,FALSE
"Adverse_reactions",1,0,1,0,FALSE,FALSE,FALSE
"Aeroallergen",0,1,1,0,FALSE,FALSE,FALSE
"Aeromonas",0,0,0,0,FALSE,FALSE,FALSE
"Aeromonas_hydrophila",0,0,0,0,FALSE,FALSE,FALSE
"Aerosols",0,0,0,0,FALSE,FALSE,FALSE
"Aflatoxin_B1",0,3,3,0,FALSE,FALSE,FALSE
"Aflatoxins",0,1,1,0,FALSE,FALSE,FALSE
"African_Swine_Fever_Virus",0,0,0,0,FALSE,FALSE,FALSE
"Agar",0,1,1,0,FALSE,FALSE,FALSE
"Age_related_macular_degeneration",3,1,4,8.65582359402695e-07,FALSE,FALSE,FALSE
"Allergic_Reaction",2,1,3,8.13532609867508e-09,FALSE,FALSE,FALSE
"Anaphylaxis",2,1,3,8.13532609867508e-09,FALSE,FALSE,FALSE
"Asthma",15,5,20,2.61592952744466e-05,FALSE,FALSE,TRUE
"Bacteremia",0,1,1,0,FALSE,FALSE,FALSE
"Burn_injury",0,3,3,0,FALSE,FALSE,FALSE
"Carcinogenesis",8,1,9,5.15836754813812e-06,FALSE,FALSE,FALSE
"Cardiotoxicity",5,4,9,6.50820170144623e-07,FALSE,FALSE,FALSE
"Communicable_Diseases",2,6,8,3.01872523375612e-06,FALSE,FALSE,TRUE
"Creutzfeldt_Jakob_Syndrome",1,0,1,0,FALSE,FALSE,FALSE
"Dermatitis",0,0,0,0,FALSE,FALSE,FALSE
"Encephalitis",3,1,4,1.98345467003929e-08,FALSE,FALSE,FALSE
"Encephalopathy_Bovine_Spongiform",1,0,1,0,FALSE,FALSE,FALSE
"Extravasation",37,8,45,0.00053172189766487,FALSE,FALSE,TRUE
"Gastroenteritis",0,2,2,0,FALSE,FALSE,FALSE
"Growth_arrest",2,0,2,0,FALSE,FALSE,FALSE
"Hemorrhagic_Fevers_Viral",0,0,0,0,FALSE,FALSE,FALSE
"Hepatitis",3,2,5,5.23980536602035e-09,FALSE,FALSE,FALSE
"Hepatitis_C",0,2,2,0,FALSE,FALSE,FALSE
"Hepatotoxicity",8,0,8,0,FALSE,FALSE,FALSE
"Hypersensitivity",15,1,16,4.62977740304387e-07,FALSE,FALSE,FALSE
"Hypoxia",40,28,68,0.001835501160665,FALSE,FALSE,TRUE
"Infections_Hospital",0,2,2,0,FALSE,FALSE,FALSE
"Infertility",11,1,12,6.85805939597246e-06,FALSE,FALSE,FALSE
"Injury_of_stomach",1,0,1,0,FALSE,FALSE,FALSE
"Liver_damage",15,0,15,0,FALSE,FALSE,FALSE
"Lung_diseases",5,3,8,5.87985226933229e-05,FALSE,FALSE,TRUE
"Lysis",2,1,3,1.15938222179186e-08,FALSE,FALSE,FALSE
"Malaria",0,4,4,0,FALSE,FALSE,FALSE
"Malignant_Neoplasms",22,8,30,7.47024595996987e-05,FALSE,FALSE,TRUE
"Malignant_neoplasm_of_lung",0,2,2,0,FALSE,FALSE,FALSE
"Meningitis",2,1,3,5.85053609747338e-08,FALSE,FALSE,FALSE
"Morphologically_altered_structure",7,0,7,0,FALSE,FALSE,FALSE
"NEPHROTOXICITY",5,3,8,2.56968788158581e-07,FALSE,FALSE,FALSE
"Necrosis",17,2,19,6.28280534088392e-07,FALSE,FALSE,TRUE
"Neurodegenerative_Disorders",23,10,33,0.000321719157335689,FALSE,FALSE,TRUE
"Neuropathy",11,1,12,6.74102859450882e-07,FALSE,FALSE,FALSE
"Occupational_asthma",2,0,2,0,FALSE,FALSE,FALSE
"Pancreatitis",17,6,23,0.000284067256550223,FALSE,FALSE,TRUE
"Peripheral_Neuropathy",5,1,6,3.99017483389603e-08,FALSE,FALSE,FALSE
"Pneumonia",8,7,15,0.000299883351809575,FALSE,FALSE,TRUE
