"Node","In_Degree","Out_Degree","Total_Degree","Betweenness","semtype","cui"
"Acute_lower_respiratory_tract_infection",0,2,2,0,NA,"C0238990"
"Acute_respiratory_failure",1,1,2,0,NA,"C0264490"
"Acute_respiratory_infection_NOS",0,2,2,0,NA,"C0339901"
"Addictive_Behavior",2,0,2,0,NA,"C0085281"
"Adenoviruses",0,2,2,0,NA,"C0001483"
"Adoptive_Transfer",0,2,2,0,NA,"C0376518"
"Atrophic_condition_of_skin",2,0,2,0,NA,"C0151514"
"Glomerulosclerosis",2,0,2,0,NA,"C0178664"
"Gastroenteritis",0,2,2,0,NA,"C0017160"
"Growth_arrest",2,0,2,0,NA,"C0333951"
"Hepatitis_C",0,2,2,0,NA,"C0019196"
"Infections_Hospital",0,2,2,0,NA,"C0205721"
"Malignant_neoplasm_of_lung",0,2,2,0,NA,"C0242379"
"Occupational_asthma",2,0,2,0,NA,"C0264423"
"Prion_Diseases",2,0,2,0,NA,"C0162534"
"Sarcoidosis",0,2,2,0,NA,"C0036202"
"Urinary_tract_infection",0,2,2,0,NA,"C0042029"
"Air_Pollutants",0,2,2,0,NA,"C0001869"
"Alarmins",0,2,2,0,NA,"C3891560"
"Albumins",0,2,2,0,NA,"C0001924"
"Aldehydes",0,2,2,0,NA,"C0001992"
"Alkaline_phosphatase_isoenzyme_bone_fraction_PHB2_SIL1",0,2,2,0,NA,"C0312399"
"Cerebral_atrophy",1,1,2,0,NA,"C0235946"
"Evaluation",2,0,2,0,NA,"C0220825"
"Lewy_Body_Disease",2,0,2,0,NA,"C0752347"
"Amines",0,2,2,0,NA,"C0002508"
"Aminoglycosides",0,2,2,0,NA,"C0002556"
"Amyloid_Fibrils",0,2,2,0,NA,"C1449651"
"Amyloid_beta",0,2,2,0,NA,"C3484390"
"Alopecia",2,0,2,0,NA,"C0002170"
"Virilism",2,0,2,0,NA,"C0042755"
"Aneurysm_Ruptured",0,2,2,0,NA,"C0162869"
"Aneurysm",2,0,2,0,NA,"C0002940"
"Aortic_Aneurysm",1,1,2,6.3239030279556e-09,NA,"C0003486"
"Cardiac_dysfunction",2,0,2,0,NA,"C3277906"
"Increase_in_blood_pressure",2,0,2,0,NA,"C0497247"
"Systemic_arterial_pressure",2,0,2,0,NA,"C1272641"
"Thickened",1,1,2,2.0123562849673e-07,NA,"C0205400"
"Thirst",2,0,2,0,NA,"C0039971"
"Vascular_inflammations",1,1,2,0,NA,"C0947751"
"Water_consumption",2,0,2,0,NA,"C0013123"
"Anthracyclines",0,2,2,0,NA,"C0282564"
"Anti_Inflammatory_Agents",0,2,2,0,NA,"C0003209"
"Antigen_Antibody_Complex",0,2,2,0,NA,"C0003313"
"Antiphospholipid_Syndrome",1,1,2,0,NA,"C0085278"
"Apnea",1,1,2,4.96878095053654e-08,NA,"C0003578"
"Apolipoprotein_E_APOE",0,2,2,0,NA,"C0003595"
"insulin_secretion",2,0,2,0,NA,"C1256369"
"Arrhythmogenic_Right_Ventricular_Dysplasia",1,1,2,0,NA,"C0349788"
"Arthropathies_NOS",1,1,2,0,NA,"C0022408"
"Asphyxia",1,1,2,5.35099486980858e-09,NA,"C0004044"
"Coronary_Aneurysm",1,1,2,0,NA,"C0010051"
"Atherosclerotic_renal_artery_stenosis",0,2,2,0,NA,"C0340557"
"Atrazine",0,2,2,0,NA,"C0004237"
"Cerebral_Embolism",1,1,2,0,NA,"C0007780"
"Atropine",0,2,2,0,NA,"C0004259"
"Autoimmunity",2,0,2,0,NA,"C0004368"
"Axotomy",0,2,2,0,NA,"C0524955"
"BK_Virus",0,2,2,0,NA,"C0005670"
"Bacterial_Vaginosis",1,1,2,0,NA,"C0085166"
"Balloon_Occlusion",0,2,2,0,NA,"C0887842"
"Hypertrophy_Right_Ventricular",2,0,2,0,NA,"C0162770"
"Bed_rest",0,2,2,0,NA,"C0004910"
"Benzene",0,2,2,0,NA,"C0005036"
"Bilateral_hyperplasia",0,2,2,0,NA,"C0333976"
"Bilirubin",0,2,2,0,NA,"C0005437"
"Biocompatible_Materials",0,2,2,0,NA,"C0005479"
"Blood_Glucose",0,2,2,0,NA,"C0005802"
"Brain_hemorrhage",1,1,2,0,NA,"C0553692"
"Bronchiolitis",0,2,2,0,NA,"C0006271"
"CD69_protein_human_CD69",0,2,2,0,NA,"C2744535"
"CDKN2A_gene_CDKN2A",0,2,2,0,NA,"C0525037"
"COLLAGENASE",0,2,2,0,NA,"C0162745"
"Acclimatization",2,0,2,0,NA,"C0000934"
"Critical_Illness",1,1,2,0,NA,"C0010340"
"Depressive_Symptoms",2,0,2,0,NA,"C0086132"
"Discharge_body_substance",1,1,2,0,NA,"C2926602"
"NEUROLOGIC_COMPLICATION",1,1,2,0,NA,"C0235029"
"Neurologic_Symptoms",1,1,2,0,NA,"C0235031"
"Respiratory_distress",1,1,2,0,NA,"C0476273"
"Severe_infection",1,1,2,0,NA,"C5139167"
"Single_organ_dysfunction",1,1,2,0,NA,"C0349410"
"Sleep",2,0,2,0,NA,"C0037313"
"Takotsubo_Cardiomyopathy",2,0,2,0,NA,"C1739395"
"C_reactive_protein",0,2,2,0,NA,"C0006560"
"Cachexia",1,1,2,0,NA,"C0006625"
"Malignant_transformation",1,1,2,0,NA,"C1608408"
"genotoxicity",2,0,2,0,NA,"C0598309"
"Calcineurin",0,2,2,0,NA,"C0054450"
"Hypercalciuria",2,0,2,0,NA,"C0020438"
"Sensory_denervation_disorder",1,1,2,9.20249714443262e-07,NA,"C0234213"
"Carbon_Dioxide",0,2,2,0,NA,"C0007012"
"Cardiomyopathies_Primary",0,2,2,0,NA,"C0033141"
"Carotid_Artery_Internal_Dissection",0,2,2,0,NA,"C0751815"
"Carotid_Atherosclerosis",0,2,2,0,NA,"C0577631"
"Carotid_Stenosis",0,2,2,0,NA,"C0007282"
"Caseins",0,2,2,0,NA,"C0007332"
"Neuroendocrine_Tumors",1,1,2,3.47814666537558e-08,NA,"C0206754"
"Disability_neurological",2,0,2,0,NA,"C0848771"
"Neural_Development",2,0,2,0,NA,"C0814002"
"Cervical_myelopathy",2,0,2,0,NA,"C0149645"
"Chlorpyrifos",0,2,2,0,NA,"C0013328"
"Atherogenesis",2,0,2,0,NA,"C1563937"
"Fatty_Streak_Arterial",2,0,2,0,NA,"C0015697"
"Chronic_glomerulonephritis_NOS",0,2,2,0,NA,"C0152451"
"Cicatrix",0,2,2,0,NA,"C0008767"
"Clip",0,2,2,0,NA,"C0175722"
"Euphoria",2,0,2,0,NA,"C0015170"
"Colchicine",0,2,2,0,NA,"C0009262"
"Collagen",0,2,2,0,NA,"C0009325"
"Community_acquired_pneumonia",0,2,2,0,NA,"C0694549"
"Low_Vision",1,1,2,8.69536666343895e-09,NA,"C0042798"
"Trigeminal_Neuralgia",2,0,2,0,NA,"C0040997"
"Congenital_Disorders",2,0,2,0,NA,"C0242354"
"Cretinism",2,0,2,0,NA,"C0010308"
"Lysosomal_Storage_Diseases",2,0,2,0,NA,"C0085078"
"Primary_immune_deficiency_disorder",2,0,2,0,NA,"C0398686"
"Spontaneous_abortion",1,1,2,1.91320691902372e-07,NA,"C0000786"
"Pleural_effusion_disorder",2,0,2,0,NA,"C0032227"
"Connective_Tissue_Diseases",1,1,2,1.652331041933e-07,NA,"C0009782"
"Hepatolenticular_Degeneration",2,0,2,0,NA,"C0019202"
"hemolysis",2,0,2,0,NA,"C0019054"
"Angina_Pectoris",2,0,2,0,NA,"C0002962"
"Crohn_s_disease",1,1,2,0,NA,"C0010346"
"Croton_Oil",0,2,2,0,NA,"C0010372"
"Cyanides",0,2,2,0,NA,"C0010505"
"Gingival_Overgrowth",2,0,2,0,NA,"C0376480"
"Cystic_kidney",1,1,2,1.18734977538772e-08,NA,"C0022679"
"Cytomegalovirus",0,2,2,0,NA,"C0010825"
"Mitochondrial_Myopathies",2,0,2,0,NA,"C0162670"
"Optic_Atrophy_Hereditary_Leber",2,0,2,0,NA,"C0917796"
"DNA_Sequence",0,2,2,0,NA,"C0162326"
"Debris",0,2,2,0,NA,"C0440266"
"Spinal_Stenosis",1,1,2,1.19072274718495e-07,NA,"C0037944"
"Demyelination",2,0,2,0,NA,"C0011304"
"Dextran",0,2,2,0,NA,"C0086140"
"Foot_Ulcer",2,0,2,0,NA,"C0085119"
"Dialysis_procedure",0,2,2,0,NA,"C0011946"
"Diazepam",0,2,2,0,NA,"C0012010"
"Diazinon",0,2,2,0,NA,"C0012013"
"Dibutyl_Phthalate",0,2,2,0,NA,"C0012052"
"Diclofenac",0,2,2,0,NA,"C0012091"
"Dental_caries",2,0,2,0,NA,"C0011334"
"METABOLIC_DISTURBANCE",2,0,2,0,NA,"C0746556"
"Metabolic_acidosis",1,1,2,1.98751238021462e-09,NA,"C0220981"
"Steatohepatitis",2,0,2,0,NA,"C2711227"
"Steatohepatitis_non_alcoholic",1,1,2,0,NA,"C0878674"
"impaired_glucose_tolerance",2,0,2,0,NA,"C0271650"
"Diet_Protein_Restricted",0,2,2,0,NA,"C0242972"
"Dietary_Fats",0,2,2,0,NA,"C0012171"
"Diethylhexyl_Phthalate",0,2,2,0,NA,"C0012197"
"Diethylstilbestrol",0,2,2,0,NA,"C0012203"
"Dimethylnitrosamine",0,2,2,0,NA,"C0012431"
"Discharge_Body_Substance",0,2,2,0,NA,"C2926602"
"Bulla",2,0,2,0,NA,"C0005758"
"Catabolism",2,0,2,0,NA,"C0699900"
"Deafness",2,0,2,0,NA,"C0011053"
"Eosinophilia",2,0,2,0,NA,"C0014457"
"Fluctuation",2,0,2,0,NA,"C0231239"
"Gangrene",2,0,2,0,NA,"C0017086"
"Immunologic_Deficiency_Syndromes",2,0,2,0,NA,"C0021051"
"Little_s_Disease",1,1,2,2.24396559056489e-09,NA,"C0023882"
"Liver_Dysfunction",2,0,2,0,NA,"C0086565"
"Lymphohistiocytosis_Hemophagocytic",1,1,2,1.91852742893137e-09,NA,"C0024291"
"Pruritus",2,0,2,0,NA,"C0033774"
"Retinal_Degeneration",1,1,2,1.91852742893137e-09,NA,"C0035304"
"Systemic_disease",1,1,2,1.91852742893137e-09,NA,"C0442893"
"Tinnitus",2,0,2,0,NA,"C0040264"
"Transient_Ischemic_Attack",2,0,2,0,NA,"C0007787"
"Diseases_of_mitral_valve",0,2,2,0,NA,"C0026265"
"Diuretics",0,2,2,0,NA,"C0012798"
"Emotional_Stress",0,2,2,0,NA,"C0086209"
"Endocrine_Disruptors",0,2,2,0,NA,"C1568245"
"Endoplasmic_Reticulum_Stress",2,0,2,0,NA,"C3178870"
"Endosulfan",0,2,2,0,NA,"C0014252"
"Environmental_Pollutants",0,2,2,0,NA,"C0014417"
"Epidemic",0,2,2,0,NA,"C0014499"
"Epoprostenol",0,2,2,0,NA,"C0033567"
"Ergonovine",0,2,2,0,NA,"C0014704"
"Essential_Hypertension",1,1,2,0,NA,"C0085580"
"Pituitary_Neoplasms",1,1,2,1.73907333268779e-08,NA,"C0032019"
"Renal_Cell_Carcinoma",1,1,2,1.73907333268779e-08,NA,"C0007134"
"Amnesia",2,0,2,0,NA,"C0002622"
"Injury_to_liver_NOS",2,0,2,0,NA,"C0160390"
"Intoxication",1,1,2,0,NA,"C0728899"
"Need_for_isolation",1,1,2,1.21735133288145e-07,NA,"C0260397"
"Onset_of_illness",1,1,2,6.3239030279556e-09,NA,"C0277793"
"Excitotoxins",0,2,2,0,NA,"C0935931"
"Impotence",2,0,2,0,NA,"C0021116"
"FGFR3_gene_FGFR3",0,2,2,0,NA,"C1333543"
"Fabry_Disease",1,1,2,0,NA,"C0002986"
"Familial_Mediterranean_Fever",1,1,2,0,NA,"C0031069"
"Fasting",0,2,2,0,NA,"C0015663"
"Fatty_Acids_Saturated",0,2,2,0,NA,"C0522102"
"Fetal_Distress",0,2,2,0,NA,"C0015930"
"Hepatic_Encephalopathy",1,1,2,0,NA,"C0019151"
"Flagellin",0,2,2,0,NA,"C0016194"
"Foramen_Ovale_Patent",0,2,2,0,NA,"C0016522"
"Force",0,2,2,0,NA,"C0441722"
"Foreign_Bodies",0,2,2,0,NA,"C0016542"
"Galanin",0,2,2,0,NA,"C0060993"
"Gastrointestinal_Diseases",0,2,2,0,NA,"C0017178"
"Generalized_ischemic_myocardial_dysfunction",0,2,2,0,NA,"C0349782"
"Long_QT_Syndrome",1,1,2,0,NA,"C0023976"
"Avascular_necrosis",2,0,2,0,NA,"C0221247"
"Glucokinase_GCK",0,2,2,0,NA,"C0017713"
"Glutathione",0,2,2,0,NA,"C0017817"
"Glycerol",0,2,2,0,NA,"C0017861"
"Glycyrrhizic_Acid",0,2,2,0,NA,"C0061751"
"HIV",0,2,2,0,NA,"C0019682"
"HMGB1_Protein",0,2,2,0,NA,"C0019796"
"HMGB1_gene_HMGB1",0,2,2,0,NA,"C1333908"
"Heart_Valve_Diseases",0,2,2,0,NA,"C0018824"
"Hematoma",1,1,2,1.65626031684551e-09,NA,"C0018944"
"Hematoma_Subdural",1,1,2,1.65626031684551e-09,NA,"C0018946"
"Hemoglobin",0,2,2,0,NA,"C0019046"
"Hepatitis_B",0,2,2,0,NA,"C0019163"
"Hepatitis_B_Virus",0,2,2,0,NA,"C0019169"
"Herbicides",0,2,2,0,NA,"C0019236"
"Keratitis",2,0,2,0,NA,"C0022568"
"Hydroxydopamine",0,2,2,0,NA,"C0205795"
"Hydroxymethylglutaryl_CoA_Reductase_Inhibitors",0,2,2,0,NA,"C0360714"
"Hyperoxia",0,2,2,0,NA,"C0242706"
"Hypertensive_heart_disease_NOS",1,1,2,0,NA,"C0152105"
"Gout",2,0,2,0,NA,"C0018099"
"Hypomagnesemia",1,1,2,8.46349021908058e-08,NA,"C0151723"
"Acidosis_Lactic",2,0,2,0,NA,"C0001125"
"Hypoxic_Ischemic_Encephalopathy",0,2,2,0,NA,"C0752304"
"IL8_gene_CXCL8",0,2,2,0,NA,"C1366571"
"Anxiety",2,0,2,0,NA,"C0003467"
"Possible",1,1,2,0,NA,"C0332149"
"Present",1,1,2,0,NA,"C0150312"
"Severe_severity_modifier",1,1,2,0,NA,"C0205082"
"Underlying",2,0,2,0,NA,"C4722602"
"Ifosfamide",0,2,2,0,NA,"C0020823"
"Immune",1,1,2,0,NA,"C0439662"
"Immunologic_Adjuvants",0,2,2,0,NA,"C0001551"
"Increased_blood_vessel_permeability",0,2,2,0,NA,"C0232374"
"Infection_of_amniotic_sac_and_membranes",1,1,2,0,NA,"C0008495"
"Pyroptosis",2,0,2,0,NA,"C2610960"
"Alveolar_Bone_Loss",2,0,2,0,NA,"C0002382"
"Bronchopulmonary_Dysplasia",2,0,2,0,NA,"C0006287"
"Nociception",2,0,2,0,NA,"C0234194"
"Cystitis",2,0,2,0,NA,"C0010692"
"Retinal_Detachment",2,0,2,0,NA,"C0035305"
"Leak_NOS",1,1,2,1.26478060559112e-09,NA,"C1608322"
"Insecticides",0,2,2,0,NA,"C0021576"
"Interleukin_13",0,2,2,0,NA,"C0214743"
"Interleukin_17",0,2,2,0,NA,"C0384648"
"Interleukin_18",0,2,2,0,NA,"C0383327"
"Intracranial_Atherosclerosis",0,2,2,0,NA,"C0751007"
"Intubation_Intratracheal",0,2,2,0,NA,"C0021932"
"Intussusception",2,0,2,0,NA,"C0021933"
"DNA_Double_Strand_Break",2,0,2,0,NA,"C1511667"
"Kidney_Tubular_Necrosis_Acute",0,2,2,0,NA,"C0022672"
"LRRK2_gene_LRRK2",0,2,2,0,NA,"C1425650"
"Left_heart_failure",0,2,2,0,NA,"C0023212"
"Obesity_Morbid",2,0,2,0,NA,"C0028756"
"Leukotrienes",0,2,2,0,NA,"C0023545"
"Lidocaine",0,2,2,0,NA,"C0023660"
"Myocardial_Reperfusion_Injury",1,1,2,2.48439047526827e-09,NA,"C0027055"
"Venous_Thrombosis",1,1,2,2.48439047526827e-09,NA,"C0042487"
"Lindane",0,2,2,0,NA,"C0005038"
"Vesicle",2,0,2,0,NA,"C0333262"
"Acute_Phase_Reaction",2,0,2,0,NA,"C0001349"
"Allodynia",2,0,2,0,NA,"C0458247"
"Cell_Survival",2,0,2,0,NA,"C0007620"
"Hypophagia",2,0,2,0,NA,"C1504561"
"Macrophage_Activation",2,0,2,0,NA,"C0024426"
"Mitochondrial_Damage",2,0,2,0,NA,"C1096176"
"Necroptosis",2,0,2,0,NA,"C2610958"
"epithelial_to_mesenchymal_transition",2,0,2,0,NA,"C1523298"
"innate_immune_response",2,0,2,0,NA,"C1155265"
"positive_regulation_of_NF_kappaB_transcription_factor_activity",2,0,2,0,NA,"C1523116"
"Liposomes",0,2,2,0,NA,"C0023828"
"Lithium",0,2,2,0,NA,"C0023870"
"Low_Density_Lipoproteins",0,2,2,0,NA,"C0023823"
"Lower_respiratory_tract_infection",0,2,2,0,NA,"C0149725"
"Magnesium",0,2,2,0,NA,"C0024467"
"Malaria_Cerebral",1,1,2,1.39125866615023e-09,NA,"C0024534"
"Malathion",0,2,2,0,NA,"C0024547"
"Angioneurotic_Edema",2,0,2,0,NA,"C0002994"
"Maple_Syrup_Urine_Disease",1,1,2,5.88518869530439e-07,NA,"C0024776"
"Mercury",0,2,2,0,NA,"C0025424"
"Metabolites",0,2,2,0,NA,"C0870883"
"Metals_Heavy",0,2,2,0,NA,"C0347988"
"Methylnitrosourea",0,2,2,0,NA,"C0025803"
"Mineralocorticoids",0,2,2,0,NA,"C0026160"
"Monoclonal_Antibodies",0,2,2,0,NA,"C0003250"
"Morphine",0,2,2,0,NA,"C0026549"
"Motor_Neuron_Disease",1,1,2,1.91852742893137e-09,NA,"C0085084"
"Mustard_Gas",0,2,2,0,NA,"C0026874"
"Excitability",2,0,2,0,NA,"C0235169"
"Hereditary_angioneurotic_edema",2,0,2,0,NA,"C0019243"
"Nephrocalcinosis",1,1,2,1.18734977538772e-08,NA,"C0027709"
"Pick_Disease_of_the_Brain",2,0,2,0,NA,"C0236642"
"Premature_aging_syndrome",2,0,2,0,NA,"C0231341"
"Severe_Combined_Immunodeficiency",2,0,2,0,NA,"C0085110"
"Somatotropin_deficiency",2,0,2,0,NA,"C0271561"
"multiple_pathologies",2,0,2,0,NA,"C0679225"
"Mutation_Missense",1,1,2,1.15938222179186e-07,NA,"C0599155"
"Mycotoxins",0,2,2,0,NA,"C0026955"
"Myocardial_Reperfusion",0,2,2,0,NA,"C0027054"
"Myocardial_bridging",0,2,2,0,NA,"C0948355"
"Acromegaly",2,0,2,0,NA,"C0001206"
"Neoplasm_progression",1,1,2,0,NA,"C0178874"
"Obstructive_Hydrocephalus",2,0,2,0,NA,"C0549423"
"Pathological_fracture",2,0,2,0,NA,"C0016663"
"Secondary_malignant_neoplasm_of_bone",1,1,2,0,NA,"C0153690"
"Superior_Vena_Cava_Syndrome",2,0,2,0,NA,"C0038833"
"sarcoma",1,1,2,0,NA,"C1261473"
"tumor_growth",1,1,2,0,NA,"C0598934"
"Uremia",1,1,2,1.39125866615023e-08,NA,"C0041948"
"Nephritis_Interstitial",0,2,2,0,NA,"C0027707"
"Nerve_injury_NOS",0,2,2,0,NA,"C0161479"
"Niacinamide",0,2,2,0,NA,"C0028027"
"Nickel",0,2,2,0,NA,"C0028013"
"Nitrogen",0,2,2,0,NA,"C0028158"
"Non_obstructive_reflux_associated_chronic_pyelonephritis",0,2,2,0,NA,"C0451718"
"Mean_blood_pressure",2,0,2,0,NA,"C0428886"
"TONIC_CONTRACTION",2,0,2,0,NA,"C0241448"
"Chylothorax",2,0,2,0,NA,"C0008733"
"Obstructive_nephropathy",0,2,2,0,NA,"C0149939"
"Occlusion_of_artery",0,2,2,0,NA,"C0264995"
"Oils",0,2,2,0,NA,"C0028908"
"Oleic_Acid",0,2,2,0,NA,"C0028928"
"Oligohydramnios",0,2,2,0,NA,"C0079924"
"Oncogenes",0,2,2,0,NA,"C0029016"
"Endophthalmitis",2,0,2,0,NA,"C0014236"
"Ovariectomy",0,2,2,0,NA,"C0029936"
"Overnutrition",0,2,2,0,NA,"C1257763"
"Oxalates",0,2,2,0,NA,"C0029988"
"Oxidants",0,2,2,0,NA,"C0085403"
"Oxides",0,2,2,0,NA,"C0030015"
"Oxytocin",0,2,2,0,NA,"C0030095"
"Parasites",0,2,2,0,NA,"C0030498"
"Peptic_Ulcer",0,2,2,0,NA,"C0030920"
"Peptide_Hydrolases",0,2,2,0,NA,"C0030940"
"Experimental_Autoimmune_Encephalomyelitis",2,0,2,0,NA,"C0014072"
"T_Cell_Activation",2,0,2,0,NA,"C1155065"
"T_Cell_Proliferation",2,0,2,0,NA,"C1155046"
"Peroxynitrite",0,2,2,0,NA,"C0136157"
"Persistent_infection",0,2,2,0,NA,"C1264606"
"Pertussis",0,2,2,0,NA,"C0043167"
"Psychotic_Disorders",2,0,2,0,NA,"C0033975"
"hyperkalemia",1,1,2,1.73907333268779e-08,NA,"C0020461"
"Premature_Menopause",2,0,2,0,NA,"C0025322"
"Tumor_Lysis_Syndrome",1,1,2,1.39125866615023e-08,NA,"C0041364"
"Phorbol_Esters",0,2,2,0,NA,"C0031586"
"Photochemotherapy",0,2,2,0,NA,"C0031740"
"Pituitary_dependent_Cushing_s_disease",1,1,2,0,NA,"C0221406"
"Placental_Insufficiency",0,2,2,0,NA,"C0032051"
"Poisons",0,2,2,0,NA,"C0032346"
"Polychlorinated_Biphenyls",0,2,2,0,NA,"C0032447"
"Polymers",0,2,2,0,NA,"C0032521"
"Polymorphism_Genetic",0,2,2,0,NA,"C0032529"
"Polyomavirus",0,2,2,0,NA,"C0032556"
"Porphyromonas_gingivalis",0,2,2,0,NA,"C0085478"
"Postpartum_Hemorrhage",0,2,2,0,NA,"C0032797"
"Pressors",0,2,2,0,NA,"C0237795"
"Pressure_physical_agent",0,2,2,0,NA,"C0033095"
"Priapism",1,1,2,0,NA,"C0033117"
"Progressive_Disease",0,2,2,0,NA,"C1335499"
"Propranolol",0,2,2,0,NA,"C0033497"
"Pyruvaldehyde",0,2,2,0,NA,"C0034338"
"Quinones",0,2,2,0,NA,"C0034435"
"RNA",0,2,2,0,NA,"C0035668"
"ROS1",0,2,2,0,NA,"6098"
"Radiation",0,2,2,0,NA,"C0851346"
"Receptors_Pattern_Recognition",0,2,2,0,NA,"C1564907"
"Recombinant_Interferon_gamma",0,2,2,0,NA,"C0021740"
"Renal_infarction",1,1,2,3.10946311884577e-05,NA,"C0035085"
"Renal_vascular_disorders_NOS",0,2,2,0,NA,"C0268790"
"Respiratory_Syncytial_Virus_Infections",0,2,2,0,NA,"C0035235"
"Retroperitoneal_fibrosis",0,2,2,0,NA,"C0035357"
"Risk_factor_cardiovascular",0,2,2,0,NA,"C0850624"
"STN_gene_EEF1A2",0,2,2,0,NA,"C1420485"
"SUPPLY_NOT_OTHERWISE_SPECIFIED",0,2,2,0,NA,"C1314650"
"Salmonella",0,2,2,0,NA,"C0036111"
"Schistosomiasis",0,2,2,0,NA,"C0036323"
"Sedentary",0,2,2,0,NA,"C0205254"
"Selenium",0,2,2,0,NA,"C0036581"
"Sleep_Apnea_Syndromes",0,2,2,0,NA,"C0037315"
"Sodium_Glutamate",0,2,2,0,NA,"C0037511"
"Soman",0,2,2,0,NA,"C0037643"
"Spasm",0,2,2,0,NA,"C0037763"
"Squamous_cell_carcinoma",0,2,2,0,NA,"C0007137"
"Steal_phenomenon",0,2,2,0,NA,"C0853404"
"Streptococcus_pneumoniae",0,2,2,0,NA,"C0038410"
"Stress_Psychological",0,2,2,0,NA,"C0038443"
"Superoxide_Dismutase",0,2,2,0,NA,"C0038838"
"Suspensions",0,2,2,0,NA,"C0038960"
"Systolic_dysfunction",0,2,2,0,NA,"C0749225"
"TLR4_gene_TLR4",0,2,2,0,NA,"C1336636"
"TNF_gene_TNF",0,2,2,0,NA,"C0812246"
"osteoclast_differentiation",2,0,2,0,NA,"C1159978"
"TRANSCRIPTION_FACTOR",0,2,2,0,NA,"C0040648"
"T_2_Toxin",0,2,2,0,NA,"C0039185"
"Tamoxifen",0,2,2,0,NA,"C0039286"
"Thyrotoxicosis",0,2,2,0,NA,"C0040156"
"Thyroxine",0,2,2,0,NA,"C0040165"
"Tobacco_smoke",0,2,2,0,NA,"C0439994"
"Toll_like_receptors",0,2,2,0,NA,"C0670896"
"Trace_Elements",0,2,2,0,NA,"C0040577"
"Tretinoin",0,2,2,0,NA,"C0040845"
"Triglycerides",0,2,2,0,NA,"C0041004"
"Tumor_Necrosis_Factors",0,2,2,0,NA,"C0041368"
"U_44619",0,2,2,0,NA,"C0917834"
"Vasoconstrictor_Agents",0,2,2,0,NA,"C0042397"
"Vincristine",0,2,2,0,NA,"C0042679"
"Viral_hepatitis",0,2,2,0,NA,"C0042721"
"Virulence_Factors",0,2,2,0,NA,"C1136170"
"Vitamin_K_3",0,2,2,0,NA,"C0025270"
"Xenobiotics",0,2,2,0,NA,"C0043335"
"Xylazine",0,2,2,0,NA,"C0043366"
"Xylene",0,2,2,0,NA,"C0043367"
"Zearalenone",0,2,2,0,NA,"C0043454"
"Endocytosis",2,0,2,0,NA,"C0014139"
"Receptor_Activation",2,0,2,0,NA,"C1514758"
"alanosine",0,2,2,0,NA,"C0051066"
"anthracene",0,2,2,0,NA,"C0003162"
"arsenic_trioxide",0,2,2,0,NA,"C0052416"
"arsenite",0,2,2,0,NA,"C0052418"
"barium_chloride",0,2,2,0,NA,"C0052972"
"bevacizumab",0,2,2,0,NA,"C0796392"
"bifenthrin",0,2,2,0,NA,"C0390645"
"chromium",0,2,2,0,NA,"C0008574"
"cyanoginosin_LR",0,2,2,0,NA,"C0056661"
"cyclooxygenase_2",0,2,2,0,NA,"C0387583"
"cypermethrin",0,2,2,0,NA,"C0056849"
"decamethrin",0,2,2,0,NA,"C0057233"
"dimethyl_mercury",0,2,2,0,NA,"C0166979"
"fipronil",0,2,2,0,NA,"C0218501"
"formalin",0,2,2,0,NA,"C0949307"
"fumonisin_B1",0,2,2,0,NA,"C0060836"
"fungus",0,2,2,0,NA,"C0016832"
"gamma_secretase",0,2,2,0,NA,"C0379528"
"gemcitabine",0,2,2,0,NA,"C0045093"
"glomerulopathy",0,2,2,0,NA,"C1398810"
"glyphosate",0,2,2,0,NA,"C0061764"
"hydrochloride",0,2,2,0,NA,"C1512523"
"imidacloprid",0,2,2,0,NA,"C0218499"
"intradermal_injection",0,2,2,0,NA,"C0021489"
"isoniazid",0,2,2,0,NA,"C0022209"
"lead",0,2,2,0,NA,"C0023175"
"lead_acetate",0,2,2,0,NA,"C0064711"
"lipoteichoic_acid",0,2,2,0,NA,"C0065067"
"microcystin",0,2,2,0,NA,"C0211296"
"multicatalytic_endopeptidase_complex",0,2,2,0,NA,"C0208355"
"mustard_oil",0,2,2,0,NA,"C0066969"
"neuronal",0,2,2,0,NA,"C0521390"
"neuropeptide_Y_NPY",0,2,2,0,NA,"C0027893"
"nonylphenol",0,2,2,0,NA,"C0068946"
"ochratoxin_A",0,2,2,0,NA,"C0069299"
"palmitate",0,2,2,0,NA,"C3503116"
"perfluorooctanoic_acid",0,2,2,0,NA,"C0070403"
"presenilin",0,2,2,0,NA,"C0872078"
"presenilin_1_PSEN1",0,2,2,0,NA,"C0299212"
"pyrene",0,2,2,0,NA,"C0072667"
"sodium_arsenite",0,2,2,0,NA,"C0074719"
"tau_Proteins_MAPT",0,2,2,0,NA,"C0085401"
"tert_Butylhydroperoxide",0,2,2,0,NA,"C0076150"
"toxicant",0,2,2,0,NA,"C0599787"
"trimethyltin",0,2,2,0,NA,"C0077204"
"triptolide",0,2,2,0,NA,"C0077274"
"wave",0,2,2,0,NA,"C0678544"
"20_hydroxy_5_8_11_14_eicosatetraenoic_acid",0,1,1,0,NA,"C0046616"
"2_2_azobis_2_amidinopropane",0,1,1,0,NA,"C0045248"
"2_Acetylaminofluorene",0,1,1,0,NA,"C0000248"
