"Node","In_Degree","Out_Degree","Total_Degree","Betweenness","semtype","cui"
"Non_alcoholic_Fatty_Liver_Disease",10,3,13,4.27562039252952e-05,NA,"C0400966"
"Hemorrhage",3,10,13,1.39338813818511e-06,NA,"C0019080"
"Endothelin_1",0,13,13,0,NA,"C0079281"
"Reperfusion_Injury",3,10,13,4.58732740013518e-06,NA,"C0035126"
"Fructose",0,13,13,0,NA,"C0016745"
"Gene_Mutation",0,13,13,0,NA,"C0596611"
"Leptin_LEP",0,13,13,0,NA,"C0299583"
"Ouabain",0,13,13,0,NA,"C0029904"
"Hydronephrosis",11,1,12,0.00018799606759045,NA,"C0020295"
"APP_protein_human",0,12,12,0,NA,"C0611285"
"Abnormal_renal_function",11,1,12,1.70505023635882e-05,NA,"C0151746"
"Colitis",11,1,12,2.72683339715852e-06,NA,"C0009319"
"Conn_Syndrome",9,3,12,0.000245661190751632,NA,"C1384514"
"Infertility",11,1,12,6.85805939597246e-06,NA,"C0021359"
"Neuropathy",11,1,12,6.74102859450882e-07,NA,"C0442874"
"Aluminum",0,12,12,0,NA,"C0002367"
"Chronic_Disease",6,6,12,4.2848718515342e-05,NA,"C0008679"
"adenoma",2,10,12,1.06666474719221e-05,NA,"C0001430"
"Death_Sudden",11,1,12,0,NA,"C0011071"
"Tachycardia",8,4,12,2.13185987244437e-06,NA,"C0039231"
"Inflammatory_Bowel_Diseases",10,2,12,2.15198581292453e-05,NA,"C0021390"
"Depressive_disorder",12,0,12,0,NA,"C0011581"
"Muscular_Atrophy",12,0,12,0,NA,"C0026846"
"Diabetes_Mellitus_Insulin_Dependent",8,4,12,9.63092749825053e-07,NA,"C0011854"
"Hyperuricemia",8,4,12,0.000144606329705034,NA,"C0740394"
"Glycosylation_End_Products_Advanced",0,12,12,0,NA,"C0162574"
"Phenylephrine",0,12,12,0,NA,"C0031469"
"Testosterone",0,12,12,0,NA,"C0039601"
"Transplantation",0,12,12,0,NA,"C0040732"
"Acute_myocardial_infarction",5,6,11,3.81061331232387e-05,NA,"C0155626"
"Brain_Edema",9,2,11,5.40728061972943e-05,NA,"C1527311"
"Down_Regulation",11,0,11,0,NA,"C0013081"
"Signal_Transduction",11,0,11,0,NA,"C0037083"
"Coronary_heart_disease",5,6,11,4.93957125519394e-06,NA,"C0010068"
"Thrombus",2,9,11,0.000383292227116575,NA,"C0087086"
"Inactivation",11,0,11,0,NA,"C0544461"
"Chronic_heart_failure",9,2,11,1.89758718771765e-07,NA,"C0264716"
"Cisplatin",0,11,11,0,NA,"C0008838"
